Id2,Majority,Majority_woE,Majority_woES,MAX_Majority,MAX_Majority_P,MAX_Majority_woE,MAX_Majority_woE_P,MAX_Majority_woES,MAX_Majority_woES_P,Total,Speak_only_English,Speak_only_English_P,Spanish_or_Spanish_Creole,Spanish_or_Spanish_Creole_P,French_incl_Patois_Cajun,French_incl_Patois_Cajun_P,French_Creole,French_Creole_P,Other_Native_North_American_languages,Other_Native_North_American_languages_P,Hungarian,Hungarian_P,Arabic,Arabic_P,Hebrew,Hebrew_P,African_languages,African_languages_P,Other_and_unspecified_languages,Other_and_unspecified_languages_P,Italian,Italian_P,Portuguese_or_Portuguese_Creole,Portuguese_or_Portuguese_Creole_P,German,German_P,Yiddish,Yiddish_P,Other_West_Germanic_languages,Other_West_Germanic_languages_P,Scandinavian_languages,Scandinavian_languages_P,Greek,Greek_P,Russian,Russian_P,Polish,Polish_P,Serbo-Croatian,Serbo-Croatian_P,Other_Slavic_languages,Other_Slavic_languages_P,Armenian,Armenian_P,Persian,Persian_P,Gujarati,Gujarati_P,Hindi,Hindi_P,Urdu,Urdu_P,Other_Indic_languages,Other_Indic_languages_P,Other_Indo-European_languages,Other_Indo-European_languages_P,Chinese,Chinese_P,Japanese,Japanese_P,Korean,Korean_P,Mon-Khmer_Cambodian,Mon-Khmer_Cambodian_P,Hmong,Hmong_P,Thai,Thai_P,Laotian,Laotian_P,Vietnamese,Vietnamese_P,Other_Asian_languages,Other_Asian_languages_P,Tagalog,Tagalog_P,Other_Pacific_Island_languages,Other_Pacific_Island_languages_P,Navajo,Navajo_P
48091310401,Spanish or Spanish Creole,Spanish or Spanish Creole,German,2513,51.98593297,2513,51.98593297,50,1.034340091,4834,2248,46.5,2513,51.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,50,1.03,0,0,0,0,22,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310403,Speak only English,Spanish or Spanish Creole,Other Indic languages,3880,73.01467821,1241,23.3534061,106,1.9947309,5314,3880,73.01,1241,23.35,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.73,22,0.41,13,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1.99,0,0,0,0,0,0,12,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310404,Speak only English,Spanish or Spanish Creole,German,2746,69.30843009,1158,29.2276628,40,1.009591116,3962,2746,69.31,1158,29.23,7,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310501,Speak only English,Spanish or Spanish Creole,German,2644,72.06323249,954,26.00163532,71,1.935132189,3669,2644,72.06,954,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310502,Speak only English,Spanish or Spanish Creole,German,3823,77.03002216,1102,22.20431191,21,0.423131171,4963,3823,77.03,1102,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310503,Speak only English,Spanish or Spanish Creole,Mon-Khmer Cambodian,3007,79.55026455,616,16.2962963,77,2.037037037,3780,3007,79.55,616,16.3,8,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.45,55,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310603,Speak only English,Spanish or Spanish Creole,German,2832,86.28884826,361,10.99939062,41,1.249238269,3282,2832,86.29,361,11,11,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1.25,0,0,9,0.27,0,0,0,0,0,0,0,0,0,0,28,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310604,Speak only English,Spanish or Spanish Creole,French incl Patois Cajun,2607,96.12831858,95,3.502949853,10,0.368731563,2712,2607,96.13,95,3.5,10,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310605,Speak only English,Spanish or Spanish Creole,Polish,4372,89.90335184,307,6.31297553,119,2.447049147,4863,4372,89.9,307,6.31,0,0,0,0,0,0,0,0,0,0,9,0.19,0,0,0,0,0,0,0,0,56,1.15,0,0,0,0,0,0,0,0,0,0,119,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310606,Speak only English,Spanish or Spanish Creole,German,4162,88.59088974,451,9.599829715,48,1.021711367,4698,4162,88.59,451,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.51,0,0,13,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
